n,l,energy,wf_name
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-0.94007309,nm_n_1_l_0.npy
2,0,-0.20220886,nm_n_2_l_0.npy
3,0,-0.06828009,nm_n_3_l_0.npy
2,1,-0.20298558,nm_n_2_l_1.npy
3,1,-0.06815810,nm_n_3_l_1.npy
3,2,-0.06714627,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-2.26594201,nm_n_1_l_0.npy
2,0,-0.31323569,nm_n_2_l_0.npy
3,0,-0.09679294,nm_n_3_l_0.npy
2,1,-0.20301029,nm_n_2_l_1.npy
3,1,-0.06816885,nm_n_3_l_1.npy
3,2,-0.06714717,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
1,0,-0.95087242,nm_n_1_l_0.npy
2,0,-0.20354871,nm_n_2_l_0.npy
3,0,-0.06865843,nm_n_3_l_0.npy
2,1,-0.20298595,nm_n_2_l_1.npy
3,1,-0.06815826,nm_n_3_l_1.npy
3,2,-0.06714628,nm_n_3_l_2.npy
